Model,MSO54
Channel,CH1
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,62500
Zero Index,31249.53125000
Vertical Units,V
,
ANALOG_Thumbnail,

TIME,CH1
-4.92648500e-06,0.00000000e+00
-4.92632500e-06,0.00000000e+00
-4.92616500e-06,-8.00000000e-04
-4.92600500e-06,0.00000000e+00
-4.92584500e-06,0.00000000e+00
-4.92568500e-06,0.00000000e+00
-4.92552500e-06,0.00000000e+00
-4.92536500e-06,0.00000000e+00
-4.92520500e-06,0.00000000e+00
-4.92504500e-06,-8.00000000e-04
-4.92488500e-06,0.00000000e+00
-4.92472500e-06,0.00000000e+00
-4.92456500e-06,0.00000000e+00
-4.92440500e-06,0.00000000e+00
-4.92424500e-06,0.00000000e+00
-4.92408500e-06,0.00000000e+00
-4.92392500e-06,0.00000000e+00
-4.92376500e-06,0.00000000e+00
-4.92360500e-06,0.00000000e+00
-4.92344500e-06,0.00000000e+00
-4.92328500e-06,8.00000000e-04
-4.92312500e-06,0.00000000e+00
-4.92296500e-06,0.00000000e+00
-4.92280500e-06,0.00000000e+00
-4.92264500e-06,0.00000000e+00
-4.92248500e-06,0.00000000e+00
-4.92232500e-06,0.00000000e+00
-4.92216500e-06,0.00000000e+00
-4.92200500e-06,8.00000000e-04
-4.92184500e-06,0.00000000e+00
-4.92168500e-06,0.00000000e+00
-4.92152500e-06,0.00000000e+00
-4.92136500e-06,0.00000000e+00
-4.92120500e-06,0.00000000e+00
-4.92104500e-06,8.00000000e-04
-4.92088500e-06,0.00000000e+00
-4.92072500e-06,0.00000000e+00
-4.92056500e-06,0.00000000e+00
-4.92040500e-06,0.00000000e+00
-4.92024500e-06,0.00000000e+00
-4.92008500e-06,0.00000000e+00
-4.91992500e-06,0.00000000e+00
-4.91976500e-06,0.00000000e+00
-4.91960500e-06,0.00000000e+00
-4.91944500e-06,0.00000000e+00
-4.91928500e-06,0.00000000e+00
-4.91912500e-06,0.00000000e+00
-4.91896500e-06,8.00000000e-04
-4.91880500e-06,8.00000000e-04
-4.91864500e-06,8.00000000e-04
-4.91848500e-06,8.00000000e-04
-4.91832500e-06,8.00000000e-04
-4.91816500e-06,8.00000000e-04
-4.91800500e-06,8.00000000e-04
-4.91784500e-06,8.00000000e-04
-4.91768500e-06,8.00000000e-04
-4.91752500e-06,0.00000000e+00
-4.91736500e-06,0.00000000e+00
-4.91720500e-06,-8.00000000e-04
-4.91704500e-06,-8.00000000e-04
-4.91688500e-06,0.00000000e+00
-4.91672500e-06,0.00000000e+00
-4.91656500e-06,8.00000000e-04
-4.91640500e-06,0.00000000e+00
-4.91624500e-06,0.00000000e+00
-4.91608500e-06,0.00000000e+00
-4.91592500e-06,0.00000000e+00
-4.91576500e-06,0.00000000e+00
-4.91560500e-06,8.00000000e-04
-4.91544500e-06,8.00000000e-04
-4.91528500e-06,8.00000000e-04
-4.91512500e-06,0.00000000e+00
-4.91496500e-06,0.00000000e+00
-4.91480500e-06,0.00000000e+00
-4.91464500e-06,0.00000000e+00
-4.91448500e-06,0.00000000e+00
-4.91432500e-06,8.00000000e-04
-4.91416500e-06,8.00000000e-04
-4.91400500e-06,8.00000000e-04
-4.91384500e-06,0.00000000e+00
-4.91368500e-06,0.00000000e+00
-4.91352500e-06,0.00000000e+00
-4.91336500e-06,0.00000000e+00
-4.91320500e-06,8.00000000e-04
-4.91304500e-06,8.00000000e-04
-4.91288500e-06,0.00000000e+00
-4.91272500e-06,0.00000000e+00
-4.91256500e-06,0.00000000e+00
-4.91240500e-06,0.00000000e+00
-4.91224500e-06,0.00000000e+00
-4.91208500e-06,0.00000000e+00
-4.91192500e-06,0.00000000e+00
-4.91176500e-06,0.00000000e+00
-4.91160500e-06,0.00000000e+00
-4.91144500e-06,0.00000000e+00
-4.91128500e-06,0.00000000e+00
-4.91112500e-06,8.00000000e-04
-4.91096500e-06,8.00000000e-04
-4.91080500e-06,8.00000000e-04
-4.91064500e-06,0.00000000e+00
-4.91048500e-06,0.00000000e+00
-4.91032500e-06,0.00000000e+00
-4.91016500e-06,0.00000000e+00
-4.91000500e-06,0.00000000e+00
-4.90984500e-06,8.00000000e-04
-4.90968500e-06,8.00000000e-04
-4.90952500e-06,8.00000000e-04
-4.90936500e-06,8.00000000e-04
-4.90920500e-06,0.00000000e+00
-4.90904500e-06,0.00000000e+00
-4.90888500e-06,8.00000000e-04
-4.90872500e-06,8.00000000e-04
-4.90856500e-06,8.00000000e-04
-4.90840500e-06,0.00000000e+00
-4.90824500e-06,0.00000000e+00
-4.90808500e-06,-8.00000000e-04
-4.90792500e-06,-8.00000000e-04
-4.90776500e-06,0.00000000e+00
-4.90760500e-06,0.00000000e+00
-4.90744500e-06,8.00000000e-04
-4.90728500e-06,0.00000000e+00
-4.90712500e-06,0.00000000e+00
-4.90696500e-06,0.00000000e+00
-4.90680500e-06,0.00000000e+00
-4.90664500e-06,8.00000000e-04
-4.90648500e-06,8.00000000e-04
-4.90632500e-06,8.00000000e-04
-4.90616500e-06,0.00000000e+00
-4.90600500e-06,0.00000000e+00
-4.90584500e-06,-8.00000000e-04
-4.90568500e-06,0.00000000e+00
-4.90552500e-06,8.00000000e-04
-4.90536500e-06,8.00000000e-04
-4.90520500e-06,0.00000000e+00
-4.90504500e-06,0.00000000e+00
-4.90488500e-06,0.00000000e+00
-4.90472500e-06,0.00000000e+00
-4.90456500e-06,0.00000000e+00
-4.90440500e-06,0.00000000e+00
-4.90424500e-06,8.00000000e-04
-4.90408500e-06,8.00000000e-04
-4.90392500e-06,8.00000000e-04
-4.90376500e-06,8.00000000e-04
-4.90360500e-06,0.00000000e+00
-4.90344500e-06,0.00000000e+00
-4.90328500e-06,0.00000000e+00
-4.90312500e-06,8.00000000e-04
-4.90296500e-06,8.00000000e-04
-4.90280500e-06,8.00000000e-04
-4.90264500e-06,0.00000000e+00
-4.90248500e-06,0.00000000e+00
-4.90232500e-06,0.00000000e+00
-4.90216500e-06,0.00000000e+00
-4.90200500e-06,0.00000000e+00
-4.90184500e-06,8.00000000e-04
-4.90168500e-06,8.00000000e-04
-4.90152500e-06,8.00000000e-04
-4.90136500e-06,0.00000000e+00
-4.90120500e-06,0.00000000e+00
-4.90104500e-06,0.00000000e+00
-4.90088500e-06,0.00000000e+00
-4.90072500e-06,0.00000000e+00
-4.90056500e-06,0.00000000e+00
-4.90040500e-06,0.00000000e+00
-4.90024500e-06,-8.00000000e-04
-4.90008500e-06,-8.00000000e-04
-4.89992500e-06,-8.00000000e-04
-4.89976500e-06,0.00000000e+00
-4.89960500e-06,0.00000000e+00
-4.89944500e-06,0.00000000e+00
-4.89928500e-06,8.00000000e-04
-4.89912500e-06,8.00000000e-04
-4.89896500e-06,8.00000000e-04
-4.89880500e-06,8.00000000e-04
-4.89864500e-06,8.00000000e-04
-4.89848500e-06,8.00000000e-04
-4.89832500e-06,8.00000000e-04
-4.89816500e-06,0.00000000e+00
-4.89800500e-06,-8.00000000e-04
-4.89784500e-06,0.00000000e+00
-4.89768500e-06,0.00000000e+00
-4.89752500e-06,8.00000000e-04
-4.89736500e-06,8.00000000e-04
-4.89720500e-06,8.00000000e-04
-4.89704500e-06,0.00000000e+00
